timestamp,close,ema20,ema50,ema200,rsi,adx,atr,macd,macd_signal,bb_upper,bb_lower,rec_w,rec_d,rec_4h,dxy_rec,score_b,score_s
2026-08-09 17:07:20,1.15637,1.14838,1.1493,1.15584,63.42,27.08,0.003,0.002675,0.000905,1.15931,1.13282,BUY,BUY,BUY,SELL,46,10
2026-08-09 17:12:51,1.15645,1.14838,1.1493,1.15584,63.51,27.08,0.003,0.002681,0.000906,1.15933,1.13281,BUY,BUY,BUY,,46,20
2026-08-09 17:28:31,1.15627,1.14837,1.1493,1.15584,63.32,27.08,0.003,0.002667,0.000903,1.15929,1.13283,BUY,BUY,BUY,SELL,46,10
2026-08-09 17:44:12,1.15589,1.14833,1.14928,1.15583,62.91,27.08,0.003,0.002636,0.000897,1.15922,1.13287,BUY,BUY,BUY,SELL,46,10
2026-08-09 17:59:52,1.15602,1.14834,1.14929,1.15583,63.05,27.08,0.003,0.002647,0.000899,1.15924,1.13285,BUY,BUY,BUY,SELL,46,10
2026-08-09 19:20:30,1.15568,1.14831,1.14927,1.15583,62.67,27.08,0.003,0.00262,0.000894,1.15917,1.13289,BUY,BUY,BUY,SELL,40,10
2026-08-09 19:36:10,1.15552,1.1483,1.14927,1.15583,62.39,27.08,0.003,0.002607,0.000891,1.15914,1.1329,BUY,NEUTRAL,BUY,SELL,32,10
2026-08-09 19:51:51,1.15573,1.14832,1.14928,1.15583,62.73,27.08,0.003,0.002624,0.000895,1.15918,1.13288,BUY,BUY,BUY,SELL,40,10
2026-08-09 20:07:32,1.15572,1.14832,1.14928,1.15583,62.72,27.08,0.003,0.002623,0.000894,1.15918,1.13288,BUY,BUY,BUY,SELL,40,10
2026-08-09 20:23:12,1.15559,1.1483,1.14927,1.15583,62.52,27.08,0.003,0.002612,0.000892,1.15916,1.1329,BUY,NEUTRAL,BUY,SELL,32,10
2026-08-09 20:38:53,1.15545,1.14829,1.14927,1.15583,62.26,27.08,0.003,0.002601,0.00089,1.15913,1.13291,BUY,NEUTRAL,BUY,SELL,32,10
2026-08-09 20:54:33,1.15574,1.14832,1.14928,1.15583,62.74,27.08,0.003,0.002624,0.000895,1.15919,1.13288,BUY,BUY,BUY,SELL,40,10
2026-08-09 21:04:04,1.15548,1.14829,1.14927,1.15583,62.32,27.08,0.003,0.002604,0.000891,1.15913,1.13291,BUY,NEUTRAL,BUY,SELL,32,10
2026-08-09 21:19:45,1.15553,1.1483,1.14927,1.15583,62.41,27.08,0.003,0.002608,0.000891,1.15914,1.1329,BUY,NEUTRAL,BUY,SELL,32,10
2026-08-09 21:35:27,1.1553,1.14828,1.14926,1.15583,61.99,27.08,0.003,0.002589,0.000888,1.1591,1.13292,BUY,NEUTRAL,BUY,SELL,32,10
2026-08-09 21:51:07,1.15543,1.14829,1.14926,1.15583,62.23,27.08,0.003,0.0026,0.00089,1.15912,1.13291,BUY,NEUTRAL,BUY,SELL,32,10
2026-08-09 22:04:27,1.15545,1.14829,1.14927,1.15583,62.26,27.08,0.003,0.002601,0.00089,1.15913,1.13291,BUY,NEUTRAL,BUY,SELL,32,10
2026-08-09 22:20:07,1.15545,1.14829,1.14927,1.15583,62.26,27.08,0.003,0.002601,0.00089,1.15913,1.13291,BUY,NEUTRAL,BUY,SELL,32,10
2026-08-09 22:35:48,1.15539,1.14828,1.14926,1.15583,62.15,27.08,0.003,0.002596,0.000889,1.15912,1.13291,BUY,NEUTRAL,BUY,SELL,32,10
2026-08-09 22:51:29,1.15523,1.14827,1.14926,1.15583,61.86,27.08,0.003,0.002584,0.000887,1.15909,1.13293,BUY,NEUTRAL,BUY,SELL,32,10
2026-08-09 23:07:09,1.155,1.14825,1.14925,1.15582,61.45,27.08,0.003,0.002565,0.000883,1.15904,1.13295,BUY,NEUTRAL,BUY,SELL,32,10
2026-08-10 08:03:04,1.15519,1.14826,1.14926,1.15582,61.79,27.08,0.003,0.00258,0.000886,1.15908,1.13293,BUY,NEUTRAL,BUY,SELL,32,10
2026-08-10 08:18:45,1.15508,1.14825,1.14925,1.15582,61.59,27.08,0.003,0.002572,0.000884,1.15906,1.13294,BUY,NEUTRAL,BUY,SELL,32,10
2026-08-10 08:34:25,1.1549,1.14824,1.14924,1.15582,61.27,27.08,0.003,0.002557,0.000881,1.15902,1.13296,BUY,NEUTRAL,BUY,NEUTRAL,32,20
2026-08-10 08:46:05,1.15465,1.14821,1.14923,1.15582,60.82,27.08,0.003,0.002537,0.000877,1.15898,1.13298,BUY,NEUTRAL,BUY,NEUTRAL,32,20
2026-08-10 09:01:46,1.15473,1.14822,1.14924,1.15582,60.97,27.08,0.003,0.002544,0.000879,1.15899,1.13297,BUY,NEUTRAL,BUY,NEUTRAL,32,20
2026-08-10 09:17:26,1.15522,1.14827,1.14926,1.15583,61.84,27.08,0.003,0.002583,0.000887,1.15908,1.13293,BUY,NEUTRAL,BUY,SELL,32,10
2026-08-10 09:33:07,1.15508,1.14825,1.14925,1.15582,61.59,27.08,0.003,0.002572,0.000884,1.15906,1.13294,BUY,NEUTRAL,BUY,NEUTRAL,32,20
2026-08-10 10:29:21,1.15521,1.14827,1.14926,1.15582,61.82,27.08,0.003,0.002582,0.000886,1.15908,1.13293,BUY,NEUTRAL,STRONG_BUY,SELL,32,10
2026-08-10 10:45:01,1.15537,1.14828,1.14926,1.15583,62.12,27.08,0.003,0.002595,0.000889,1.15911,1.13292,BUY,NEUTRAL,STRONG_BUY,SELL,32,10
2026-08-10 11:00:42,1.15512,1.14826,1.14925,1.15582,61.66,27.08,0.003,0.002575,0.000885,1.15907,1.13294,BUY,NEUTRAL,STRONG_BUY,SELL,32,10
2026-08-10 11:16:22,1.15522,1.14827,1.14926,1.15583,61.84,27.08,0.003,0.002583,0.000887,1.15908,1.13293,BUY,NEUTRAL,STRONG_BUY,SELL,32,10
2026-08-10 13:59:36,1.15426,1.14817,1.14922,1.15581,60.03,27.08,0.003,0.002501,0.00087,1.15889,1.13302,BUY,NEUTRAL,NEUTRAL,NEUTRAL,15,20
2026-08-10 14:15:17,1.15437,1.14819,1.14922,1.15582,60.34,27.08,0.003,0.002515,0.000873,1.15893,1.133,BUY,NEUTRAL,BUY,NEUTRAL,32,20
2026-08-10 14:30:57,1.15413,1.14816,1.14921,1.15581,59.92,27.08,0.003,0.002496,0.000869,1.15888,1.13302,BUY,NEUTRAL,NEUTRAL,NEUTRAL,15,20
2026-08-10 14:46:38,1.15438,1.14819,1.14922,1.15582,60.35,27.08,0.003,0.002516,0.000873,1.15893,1.133,BUY,NEUTRAL,BUY,NEUTRAL,32,20
2026-08-10 15:02:18,1.15409,1.14816,1.14921,1.15581,59.86,27.08,0.003,0.002493,0.000868,1.15888,1.13302,BUY,NEUTRAL,NEUTRAL,NEUTRAL,15,20
2026-08-10 15:17:59,1.1541,1.14816,1.14921,1.15581,59.87,27.08,0.003,0.002494,0.000869,1.15888,1.13302,BUY,NEUTRAL,NEUTRAL,NEUTRAL,15,20
2026-08-10 15:33:39,1.15411,1.14816,1.14921,1.15581,59.89,27.08,0.003,0.002494,0.000869,1.15888,1.13302,BUY,NEUTRAL,NEUTRAL,NEUTRAL,15,20
2026-08-10 15:49:20,1.15423,1.14817,1.14922,1.15582,60.1,27.08,0.003,0.002504,0.000871,1.1589,1.13301,BUY,NEUTRAL,NEUTRAL,NEUTRAL,15,20
2026-08-10 16:05:01,1.15419,1.14817,1.14922,1.15581,60.03,27.08,0.003,0.002501,0.00087,1.15889,1.13302,BUY,NEUTRAL,NEUTRAL,NEUTRAL,15,20
2026-08-10 16:20:42,1.15423,1.14817,1.14922,1.15582,60.1,27.08,0.003,0.002504,0.000871,1.1589,1.13301,BUY,NEUTRAL,NEUTRAL,NEUTRAL,15,20
2026-08-10 16:36:22,1.1542,1.14817,1.14922,1.15581,60.04,27.08,0.003,0.002502,0.00087,1.1589,1.13302,BUY,NEUTRAL,NEUTRAL,NEUTRAL,15,20
2026-08-10 18:04:55,1.15431,1.14876,1.14942,1.1558,60.18,27.59,0.003,0.002646,0.001225,1.15986,1.13329,BUY,BUY,BUY,NEUTRAL,40,20
2026-08-10 19:06:48,1.15432,1.14876,1.14942,1.1558,60.19,27.59,0.003,0.002646,0.001225,1.15987,1.13329,BUY,BUY,BUY,NEUTRAL,40,20
2026-08-10 19:22:29,1.1543,1.14875,1.14942,1.1558,60.15,27.59,0.003,0.002644,0.001225,1.15986,1.13329,BUY,BUY,BUY,NEUTRAL,40,20
2026-08-10 19:38:10,1.1543,1.14875,1.14942,1.1558,60.17,27.59,0.003,0.002645,0.001225,1.15986,1.13329,BUY,BUY,BUY,SELL,40,10
2026-08-10 19:53:51,1.15439,1.14876,1.14942,1.1558,60.28,27.59,0.003,0.002652,0.001227,1.15988,1.13328,BUY,BUY,BUY,SELL,40,10
2026-08-10 20:09:32,1.15461,1.14878,1.14943,1.1558,60.54,27.59,0.003,0.002669,0.00123,1.15992,1.13327,BUY,BUY,BUY,SELL,40,10
2026-08-10 20:48:46,1.15479,1.1488,1.14944,1.1558,60.76,27.59,0.003,0.002684,0.001233,1.15995,1.13326,BUY,BUY,BUY,SELL,40,10
2026-08-10 20:57:35,1.15463,1.14879,1.14943,1.1558,60.56,27.59,0.003,0.002671,0.00123,1.15992,1.13327,BUY,BUY,BUY,SELL,40,10
2026-08-10 21:33:50,1.15493,1.14881,1.14944,1.15581,60.92,27.59,0.00514,0.002695,0.001235,1.15997,1.13325,BUY,BUY,BUY,SELL,40,10
2026-08-10 21:40:59,1.15483,1.1488,1.14944,1.15581,60.8,27.59,0.00514,0.002687,0.001234,1.15995,1.13325,BUY,BUY,BUY,SELL,40,10
2026-08-10 21:52:37,1.15475,1.1488,1.14943,1.1558,60.71,27.59,0.00514,0.002681,0.001232,1.15994,1.13326,BUY,BUY,BUY,SELL,40,10
